source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
crea,008006,"Arance Sanguinello, fresche",it,,cat4,100,g,10.6,0.7,0.1,47,crea-2019
crea,008007,"Arance Tarocco, fresche",it,,cat4,100,g,10,0.7,0.2,45,crea-2019
crea,008010,"Arance succo, fresco",it,,cat4,100,g,8.2,0.5,0,33,crea-2019
crea,008011,"Arance bionde succo, fresco",it,,cat4,100,g,9.6,0.5,0,38,crea-2019
crea,008012,"Arance rosse succo, fresco",it,,cat4,100,g,9.8,0.5,0,39,crea-2019
crea,008020,"Clementine, fresche",it,,cat4,100,g,8.7,0.9,0.1,40,crea-2019
crea,008030,"Limoni, freschi",it,,cat4,100,g,2.5,0.6,0,16,crea-2019
crea,008040,"Limoni, succo",it,,cat4,100,g,2.5,0.2,0,10,crea-2019
crea,008050,"Mandaranci, freschi",it,,cat4,100,g,12.8,0.8,0.2,57,crea-2019
crea,008060,"Mandarini, freschi",it,,cat4,100,g,17.6,0.9,0.3,76,crea-2019
crea,008070,"Pompelmo, fresco",it,,cat4,100,g,6.2,0.6,0,29,crea-2019
crea,008500,"Arachidi, tostate",it,,cat5,100,g,8.5,29,50,620,crea-2019
crea,008510,Carrube,it,,cat5,100,g,49.9,3.3,0.7,253,crea-2019
crea,008520,Castagne,it,,cat5,100,g,36.7,2.9,1.7,174,crea-2019
crea,008521,"Castagne, arrostite",it,,cat5,100,g,41.8,3.7,2.4,210,crea-2019
crea,008525,"Castagne, bollite",it,,cat5,100,g,26.1,2.5,1.3,130,crea-2019
crea,008530,"Castagne, secche",it,,cat5,100,g,62,6,3.4,315,crea-2019
crea,008540,"Mandorle dolci, secche",it,,cat5,100,g,4.6,22,55.3,628,crea-2019
crea,008550,"Nocciole, secche",it,,cat5,100,g,6.1,13.8,64.1,671,crea-2019
crea,008560,Noci,it,,cat5,100,g,5.5,10.5,57.7,589,crea-2019
crea,008570,"Noci, secche",it,,cat5,100,g,5.1,14.3,68.1,702,crea-2019
crea,008580,Noci pecan,it,,cat5,100,g,7.9,7.2,71.8,723,crea-2019
crea,008590,Pinoli,it,,cat5,100,g,4,31.9,50.3,604,crea-2019
crea,008600,Pistacchi,it,,cat5,100,g,8.1,18.1,56.1,629,crea-2019
crea,008605,Pistacchio di Bronte DOP,it,,cat2,100,g,7.3,24.3,48.9,595,crea-2019
crea,008610,Anacardi,it,,cat5,100,g,33,15,46,604,crea-2019
crea,008620,Macadamia,it,,cat5,100,g,5.1,8,76,751,crea-2019
crea,008800,Olive da tavola conservate,it,,cat4,100,g,5,1.5,27,277,crea-2019
crea,008810,"Olive, nere",it,,cat4,100,g,0.8,1.6,25.1,243,crea-2019
crea,008820,"Olive, verdi",it,,cat4,100,g,1,0.8,15,148,crea-2019
crea,008830,"Olive, verdi, in salamoia",it,,cat4,100,g,1,1.2,11,113,crea-2019
crea,008840,Oliva Nocellara del Belice,it,,cat2,100,g,0.06,1.4,22.1,211,crea-2019
crea,008850,Oliva Giarraffa,it,,cat2,100,g,0.19,1.4,20,192,crea-2019
crea,008930,Succo di frutta,it,,cat4,100,g,14.5,0.3,0.1,56,crea-2019
crea,008940,Cocktail di frutta sciroppata,it,,cat4,100,g,14.8,0.4,0,59,crea-2019
crea,009010,Burro d'arachidi,it,,cat1,100,g,8,24.9,53.7,625,crea-2019
crea,009100,"Margarina, 100% vegetale",it,,cat1,100,g,0.4,0.6,84,760,crea-2019
crea,009110,"Margarina, 2/3 di grassi animali, 1/3 di grassi vegetali",it,,cat1,100,g,0.4,0.7,84,760,crea-2019
crea,009200,Olio di oliva,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009210,Olio di oliva extra vergine,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009610,Olio di arachide,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009620,Olio di cocco,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009630,Olio di colza,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009640,Olio di germe di grano,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009650,Olio di girasole,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009660,Olio di mais,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009670,Olio di mandorle dolci,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009680,Olio di palma,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009690,Olio di sesamo,it,,cat1,100,g,0,0,99.9,899,crea-2019
crea,009700,Olio di soia,it,,cat1,100,g,0,0,99.9,899,crea-2019
