source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
cofid,17-841,"White sauce, sweet, made with semi-skimmed milk, homemade",en,,Recipe WCD,100,g,18.6,4,6.7,146,cofid-2021
cofid,17-842,"White sauce, sweet, made with skimmed milk, homemade",en,,Recipe WCD,100,g,18.7,4.1,5.3,134,cofid-2021
cofid,17-843,"White sauce, sweet, made with whole milk, homemade",en,,Recipe WCD,100,g,18.6,4,8.6,163,cofid-2021
cofid,17-844,"Barley water, diluted",en,,Calculated from 50g concentrate to 200ml water PCC,100,g,4.7,0.1,0,18,cofid-2021
cofid,17-845,"Blackcurrant juice drink/squash, diluted",en,,Calculated from 38g concentrate to 250ml water PCC,100,g,7.2,0,0,27,cofid-2021
cofid,17-846,"Fruit juice drink/squash, no sugar added, diluted",en,,Calculated from 50g concentrate to 200ml water PCC,100,g,0.3,0,0,1,cofid-2021
cofid,17-847,"Fruit juice drink/squash, diluted",en,,Calculated from 50g concentrate to 200ml water PCC,100,g,1.8,0,0,7,cofid-2021
cofid,17-848,"High juice drink, diluted",en,,Calculated from 50g concentrate to 200ml water PCC,100,g,8.5,0.1,0,32,cofid-2021
cofid,17-849,Pot savouries,en,,"6 samples including assorted flavours of noodles, rice and chilli SN",100,g,58.8,11.6,10.9,365,cofid-2021
cofid,17-850,"Soup, chicken noodle, dried",en,,"10 packets, 4 brands WAE",100,g,56,17.1,4.8,322,cofid-2021
cofid,17-851,"Apple sauce, homemade",en,,Recipe WC,100,g,20.2,0.3,0.2,79,cofid-2021
cofid,17-852,"Mincemeat, vegetarian, homemade",en,,Recipe S,100,g,43.8,1.7,9.5,306,cofid-2021
cofid,18-002,"Beef, lean, average, raw, extra trimmed",en,,Weighted average of 13 different cuts MAC,100,g,0,21.6,5.1,132,cofid-2021
cofid,18-003,"Beef, fat, average, raw",en,,"Average of 10 different cuts, trimmed of lean MAC",100,g,0,18.9,53.6,558,cofid-2021
cofid,18-004,"Beef, fat, average, raw, extra trimmed",en,,Weighted average of 13 different cuts MAC,100,g,0,6.8,72.2,677,cofid-2021
cofid,18-005,"Beef, fat, average, cooked",en,,Average of 8 different cuts MAC,100,g,0,15.5,52.3,533,cofid-2021
cofid,18-006,"Beef, braising steak, raw, lean",en,,10 samples MAC,100,g,0,21.8,5.7,139,cofid-2021
